# Generated by generate-license-hashes.py from OE-core common-licenses
# Format: exact_md5,crunched_md5,spdx_id
8db32780d0d8bbbdce0fa415e514cb89,964195e98292692323108eadd7970135,Beerware
343ae07b73a164814623299eeab1e1d9,a4c0de56e46bad5378b0b10502490ddf,BitTorrent-1.0
92cedb99d0471a8acd4ecc7c84b5b3cb,e3656988ac598b1c0ae39ce0a1e37eb2,BitTorrent-1.1
6bb125664f82c1853f7d54e98ea922b9,5b2826f750ecebd97e7728c6bce21afa,Bitstream-Charter
8c4328074cf50f27d3efb9aae5a87f4a,6ea6150ebad6abbd3337bd308dc19fd7,Bitstream-Vera
4157c4506f2d3cf0da1dc51015431b0c,c0c23ae2a62168a8e9ef207d86ec651a,BitstreamVera
95e9f67f2840df3a3a09a77ef3aea34b,15336a64f430636e3f642c0a6e0b982a,BlueOak-1.0.0
ad03248d75acacddc990f85bb70a1854,c32490734121b24edd7d084093eabc7b,Boehm-GC
04d80e73d4673eee6158a5b50899f12f,038624ac63ae80b2d4a8db6e6e7196c5,Boehm-GC-without-fee
b474f10b305d72c6c423807177646dc0,234880273e1b499d5fad3e36cd31655c,Borceux
e6c1b2a8e1473cb07da49cbf8ee9473d,1510518ccb9b4afa4ebb9409938497a0,Brian-Gladman-2-Clause
741b0469dbc545c7a47950513ba53911,3ea26a6b2e4284c03d4e54dccd70ce8c,Brian-Gladman-3-Clause
f894ae2ca273737325e332d44dd5bdf3,a1b056f1f76cf231c441507e70aed6cd,C-UDA-1.0
a3771b929b1097b53210a4e8da10ed60,ff749ba1869109ecd9c734e2805046fd,CAL-1.0
a3771b929b1097b53210a4e8da10ed60,ff749ba1869109ecd9c734e2805046fd,CAL-1.0-Combined-Work-Exception
dbb00b2869645074b4e695aec992df10,c61c34e6739afb33aea56306b9c14adc,CATOSL-1.1
e1b141d75eb69dca77dedffa72ab8099,998ef758d616fc39a9aa766299d3d6c7,CC-BY-1.0
b79db37a058b24d186ed078d34982463,55cbfbe8211f458bc478bc34b13166b9,CC-BY-2.0
bf27f7347b03a9fb6376a71c26d5873e,1230c8d58407a79e86f2e5baedc3c932,CC-BY-2.5
1490533ce18e36ff799448a8152e5f38,4d4851343a79bb425c80639f2e6df62e,CC-BY-2.5-AU
dfa02b5755629022e267f10b9c0a2ab7,c688272e7c401d9f8b4447664605b5d7,CC-BY-3.0
ac16bb7393ecc02c0ad56743f5c7fcd1,e5e94ac9ec877a8754623353c5386f8a,CC-BY-3.0-AT
f40160ba362231f2f3af8701c9b3893f,dd9f394c3c84e436a77ac3d6d4fdd35d,CC-BY-3.0-AU
6af0c687e05a9af2d3777291cc10341b,450748b9b751b21be10f1195689920a2,CC-BY-3.0-DE
23c2e07ef5fbe97fd8d5f05852793a26,b816ca4bf33549806f77c66ad71969d4,CC-BY-3.0-IGO
c3adfa3c8749946e60510facb64bd6cb,e2ef9a0943d9dc1b9ef315130de147ce,CC-BY-3.0-NL
e86181756ea84a3a6c838c57187c0e48,5a2d7d5d3217f3366b39c6e02667ac66,CC-BY-3.0-US
9b33bbd06fb58995fb0e299cd38d1838,988202b5ed1229103539868ed0b8c065,CC-BY-4.0
60c2ef26ff098732959ecfaca4ee293f,48312559a5efae45f824a5cec0cde571,CC-BY-NC-1.0
eb459fd0027ee7bd45ddc87041d0dac0,c4bf54074bdb62a3fb98408a95a161c4,CC-BY-NC-2.0
3fb1f5b70ed355def0c7510f0c3ff868,f2f2b54b10b931dc5cb74b2d75bd2218,CC-BY-NC-2.5
da665b47544b8cf138600d9e2aeefadd,a6c9b2cdf1bfbfccc0f349376cf1e2f9,CC-BY-NC-3.0
e937cec4476e354e700e70f8184ba255,7840ddb9e5a96edb7de9b795ab3f2e41,CC-BY-NC-3.0-DE
de4d02d928802a50f2fe5bc021f81b21,dad42a93ae06c5bc5f6078c2f4816e02,CC-BY-NC-4.0
1fa0b366e67cd5d33008da416010adc8,afb623d9c270600a64fc1fa3a4f93de5,CC-BY-NC-ND-1.0
75075c6d5013fdd3248ae5d6f7a98cd5,9b803a8d447ce9f5bf64403d2add9f9b,CC-BY-NC-ND-2.0
f9339183804ba3d5e9769247477764f7,d51880f3df49ff59dfa7786948b4617c,CC-BY-NC-ND-2.5
a1038f0f4a3de1fe9e79e2180c40f10c,c190d0225fa82052bc67249c121e0ba4,CC-BY-NC-ND-3.0
a4448b13b2efa2608ad7372e7e1efd5b,6c4e2dc4e5f42b4be5f64a42685f6c70,CC-BY-NC-ND-3.0-DE
4985c047ad0e40d607a6407b34f18b9a,ed9feaff618b0c34d89db747f51ffb1e,CC-BY-NC-ND-3.0-IGO
afe664d64109562c3fa9c309bd7f73bc,dc886895c27bc10ef3baf01738447d3e,CC-BY-NC-ND-4.0
679365ce5f061c65ce9b2beadb728dc6,796c39fbd77166c12319e04198f00c4a,CC-BY-NC-SA-1.0
33afa953f9a9ec1c45cff66877723a83,7ef9c59edac34a82543dcd21e9e5ad57,CC-BY-NC-SA-2.0
a9a70cd0b5ec5150fdb5e7960c0fcde4,d95aee682e5b4fb5cda9583b13fa10f9,CC-BY-NC-SA-2.0-DE
cd9fd5140672e5f5a7972f261415a4c8,2b1eb511c28786fce581c1100d146bde,CC-BY-NC-SA-2.0-FR
5390dc64dbc02ea720da9862c2d833e3,b7d268e6e4d616fef6cf74777c1566c4,CC-BY-NC-SA-2.0-UK
49d7927bc671238531c941f5282a9c62,c0a7726094672e201fa9333c36f94395,CC-BY-NC-SA-2.5
b285975b5e439d99c95bcba5b5a8cf39,1536d73b2bad5d2f60de0c07fbbbf4fd,CC-BY-NC-SA-3.0
8c667bd3adc7d359cdfb47f4bbd0080a,d45c8b797b88e41f6ef133a2215cf071,CC-BY-NC-SA-3.0-DE
1bb6df63159c36c499a4abce384f1035,2aaaad74486351d69fb2c1f6388bc0ab,CC-BY-NC-SA-3.0-IGO
277261f4a7c6c099822f8f5cb0180da0,547068c75650d124c8a9c791f196e3f1,CC-BY-NC-SA-4.0
5697702d6857a5ecf98636ef2a8ff46b,86c1668c4bf50ba2ceae38dfd38bbe99,CC-BY-ND-1.0
2c7b116933227ab8e62498a916bbfa55,bed70c967433a4f16f95dc3bb89c2db4,CC-BY-ND-2.0
546f3980b6203a38e6315ca736813822,db674ee52bae2d6d22818f995299453f,CC-BY-ND-2.5
009338acda935b3c3a3255af957e6c14,3275be58076cb0e48f40b8a380d986cb,CC-BY-ND-3.0
